State,Mode,Year,Commute mode share (percent)
South Dakota,Carpool,2010,0.100046572
Tennessee,Carpool,2010,0.100069981
Texas,Carpool,2010,0.110950538
United States,Carpool,2010,0.096876429
Utah,Carpool,2010,0.112326243
Vermont,Carpool,2010,0.094723386
Virginia,Carpool,2010,0.099830041
Washington,Carpool,2010,0.104831301
West Virginia,Carpool,2010,0.093991462
Wisconsin,Carpool,2010,0.088048435
Wyoming,Carpool,2010,0.110581783
Alabama,Drove alone,2010,0.84472394
Alaska,Drove alone,2010,0.670063828
Arizona,Drove alone,2010,0.764840633
Arkansas,Drove alone,2010,0.819992039
California,Drove alone,2010,0.731725233
Colorado,Drove alone,2010,0.754673815
Connecticut,Drove alone,2010,0.796774806
Delaware,Drove alone,2010,0.803813446
District of Columbia,Drove alone,2010,0.347937597
Florida,Drove alone,2010,0.799243959
Georgia,Drove alone,2010,0.793348703
Hawaii,Drove alone,2010,0.665891266
Idaho,Drove alone,2010,0.777532796
Illinois,Drove alone,2010,0.737663653
Indiana,Drove alone,2010,0.838454931
Iowa,Drove alone,2010,0.793260246
Kansas,Drove alone,2010,0.821266835
Kentucky,Drove alone,2010,0.822162532
Louisiana,Drove alone,2010,0.816781373
Maine,Drove alone,2010,0.804621822
Maryland,Drove alone,2010,0.73024945
Massachusetts,Drove alone,2010,0.728185468
Michigan,Drove alone,2010,0.833319035
Minnesota,Drove alone,2010,0.781922148
Mississippi,Drove alone,2010,0.841467888
Missouri,Drove alone,2010,0.817485358
Montana,Drove alone,2010,0.756320884
Nebraska,Drove alone,2010,0.813897406
Nevada,Drove alone,2010,0.782636456
New Hampshire,Drove alone,2010,0.815833865
New Jersey,Drove alone,2010,0.72340955
New Mexico,Drove alone,2010,0.797920413
New York,Drove alone,2010,0.543509012
North Carolina,Drove alone,2010,0.818733797
North Dakota,Drove alone,2010,0.800243453
Ohio,Drove alone,2010,0.838107203
Oklahoma,Drove alone,2010,0.810312692
Oregon,Drove alone,2010,0.721652796
Pennsylvania,Drove alone,2010,0.770056
Rhode Island,Drove alone,2010,0.803184663
South Carolina,Drove alone,2010,0.828784083
South Dakota,Drove alone,2010,0.781842684
Tennessee,Drove alone,2010,0.836322048
Texas,Drove alone,2010,0.798149205
United States,Drove alone,2010,0.76571304
Utah,Drove alone,2010,0.775648336
Vermont,Drove alone,2010,0.748809876
Virginia,Drove alone,2010,0.771391186
Washington,Drove alone,2010,0.730339454
West Virginia,Drove alone,2010,0.829375562
Wisconsin,Drove alone,2010,0.80513941
Wyoming,Drove alone,2010,0.75946876
Alabama,Public transportation,2010,0.004080401
Alaska,Public transportation,2010,0.011746413
Arizona,Public transportation,2010,0.017861127
Arkansas,Public transportation,2010,0.004941401
California,Public transportation,2010,0.051524686
Colorado,Public transportation,2010,0.029618607
Connecticut,Public transportation,2010,0.044969659
Delaware,Public transportation,2010,0.029979408
District of Columbia,Public transportation,2010,0.383018162
Florida,Public transportation,2010,0.020469427
Georgia,Public transportation,2010,0.022735176
Hawaii,Public transportation,2010,0.066232057
Idaho,Public transportation,2010,0.008075929
Illinois,Public transportation,2010,0.085398433
Indiana,Public transportation,2010,0.009733214
Iowa,Public transportation,2010,0.010998841
Kansas,Public transportation,2010,0.005223289
Kentucky,Public transportation,2010,0.010898442
Louisiana,Public transportation,2010,0.014391014
Maine,Public transportation,2010,0.004886964
Maryland,Public transportation,2010,0.086247422
Massachusetts,Public transportation,2010,0.090536518
Michigan,Public transportation,2010,0.012744609
Minnesota,Public transportation,2010,0.034748381
Mississippi,Public transportation,2010,0.004383675
Missouri,Public transportation,2010,0.015631391
Montana,Public transportation,2010,0.008384358
Nebraska,Public transportation,2010,0.005751062
Nevada,Public transportation,2010,0.032848648
New Hampshire,Public transportation,2010,0.009135498
New Jersey,Public transportation,2010,0.108418829
New Mexico,Public transportation,2010,0.011597291
New York,Public transportation,2010,0.266947562
North Carolina,Public transportation,2010,0.010438979
North Dakota,Public transportation,2010,0.006867265
Ohio,Public transportation,2010,0.016711665
Oklahoma,Public transportation,2010,0.005253469
Oregon,Public transportation,2010,0.042197652
Pennsylvania,Public transportation,2010,0.054242981
Rhode Island,Public transportation,2010,0.027929865
South Carolina,Public transportation,2010,0.004993943
South Dakota,Public transportation,2010,0.005261698
Tennessee,Public transportation,2010,0.007072036
Texas,Public transportation,2010,0.015144346
United States,Public transportation,2010,0.049427567
Utah,Public transportation,2010,0.021286425
Vermont,Public transportation,2010,0.013267062
Virginia,Public transportation,2010,0.043830055
Washington,Public transportation,2010,0.054923716
West Virginia,Public transportation,2010,0.007117942
Wisconsin,Public transportation,2010,0.016690102
Wyoming,Public transportation,2010,0.016983905
Alabama,"Taxi, motorcycle, or other",2010,0.008120838
Alaska,"Taxi, motorcycle, or other",2010,0.039257594
Arizona,"Taxi, motorcycle, or other",2010,0.014865901
Arkansas,"Taxi, motorcycle, or other",2010,0.013926954
California,"Taxi, motorcycle, or other",2010,0.012896795
Colorado,"Taxi, motorcycle, or other",2010,0.010259042
Connecticut,"Taxi, motorcycle, or other",2010,0.008450368
Delaware,"Taxi, motorcycle, or other",2010,0.011016127
District of Columbia,"Taxi, motorcycle, or other",2010,0.010606066
Florida,"Taxi, motorcycle, or other",2010,0.014877876
Georgia,"Taxi, motorcycle, or other",2010,0.015823366
Hawaii,"Taxi, motorcycle, or other",2010,0.02523068
Idaho,"Taxi, motorcycle, or other",2010,0.010880858
Illinois,"Taxi, motorcycle, or other",2010,0.010524182
Indiana,"Taxi, motorcycle, or other",2010,0.00766658
Iowa,"Taxi, motorcycle, or other",2010,0.009275916
Kansas,"Taxi, motorcycle, or other",2010,0.008350786
Kentucky,"Taxi, motorcycle, or other",2010,0.007756559
Louisiana,"Taxi, motorcycle, or other",2010,0.016819879
Maine,"Taxi, motorcycle, or other",2010,0.008722283
Maryland,"Taxi, motorcycle, or other",2010,0.008866039
Massachusetts,"Taxi, motorcycle, or other",2010,0.007711136
Michigan,"Taxi, motorcycle, or other",2010,0.006943783
Minnesota,"Taxi, motorcycle, or other",2010,0.009059643
Mississippi,"Taxi, motorcycle, or other",2010,0.011706198
Missouri,"Taxi, motorcycle, or other",2010,0.009424282
Montana,"Taxi, motorcycle, or other",2010,0.010204304
Nebraska,"Taxi, motorcycle, or other",2010,0.007585238
Nevada,"Taxi, motorcycle, or other",2010,0.013710373
New Hampshire,"Taxi, motorcycle, or other",2010,0.009432125
New Jersey,"Taxi, motorcycle, or other",2010,0.015264203
New Mexico,"Taxi, motorcycle, or other",2010,0.009132138
New York,"Taxi, motorcycle, or other",2010,0.013789149
North Carolina,"Taxi, motorcycle, or other",2010,0.009279389
North Dakota,"Taxi, motorcycle, or other",2010,0.010727497
Ohio,"Taxi, motorcycle, or other",2010,0.006627237
Oklahoma,"Taxi, motorcycle, or other",2010,0.011395922
Oregon,"Taxi, motorcycle, or other",2010,0.00962648
Pennsylvania,"Taxi, motorcycle, or other",2010,0.008241042
Rhode Island,"Taxi, motorcycle, or other",2010,0.008385626
South Carolina,"Taxi, motorcycle, or other",2010,0.013101593
South Dakota,"Taxi, motorcycle, or other",2010,0.012354089
Tennessee,"Taxi, motorcycle, or other",2010,0.008952133
Texas,"Taxi, motorcycle, or other",2010,0.016068308
United States,"Taxi, motorcycle, or other",2010,0.01165423
Utah,"Taxi, motorcycle, or other",2010,0.010619659
Vermont,"Taxi, motorcycle, or other",2010,0.0078165
Virginia,"Taxi, motorcycle, or other",2010,0.011122506
Washington,"Taxi, motorcycle, or other",2010,0.012491749
West Virginia,"Taxi, motorcycle, or other",2010,0.009161652
Wisconsin,"Taxi, motorcycle, or other",2010,0.009323846
Wyoming,"Taxi, motorcycle, or other",2010,0.011904506
Alabama,Walked,2010,0.013245932
Alaska,Walked,2010,0.078820933
Arizona,Walked,2010,0.019982539
Arkansas,Walked,2010,0.018108956
California,Walked,2010,0.026994107
Colorado,Walked,2010,0.029784581
Connecticut,Walked,2010,0.028313124
Delaware,Walked,2010,0.022383701
District of Columbia,Walked,2010,0.117603643
Florida,Walked,2010,0.016527385
Georgia,Walked,2010,0.01470244
Hawaii,Walked,2010,0.045095429
Idaho,Walked,2010,0.032076812
Illinois,Walked,2010,0.03088409
Indiana,Walked,2010,0.021859929
Iowa,Walked,2010,0.035890745
Kansas,Walked,2010,0.025791183
Kentucky,Walked,2010,0.01741566
Louisiana,Walked,2010,0.019856349
Maine,Walked,2010,0.034854076
Maryland,Walked,2010,0.022794323
Massachusetts,Walked,2010,0.046744677
Michigan,Walked,2010,0.021788883
Minnesota,Walked,2010,0.028101573
Mississippi,Walked,2010,0.017361216
Missouri,Walked,2010,0.020535668
Montana,Walked,2010,0.051778197
Nebraska,Walked,2010,0.027601626
Nevada,Walked,2010,0.017832606
New Hampshire,Walked,2010,0.028178024
New Jersey,Walked,2010,0.029162231
New Mexico,Walked,2010,0.022052336
New York,Walked,2010,0.062197212
North Carolina,Walked,2010,0.018094651
North Dakota,Walked,2010,0.038321619
Ohio,Walked,2010,0.022581593
Oklahoma,Walked,2010,0.017514184
Oregon,Walked,2010,0.039141722
Pennsylvania,Walked,2010,0.038243507
Rhode Island,Walked,2010,0.038338458
South Carolina,Walked,2010,0.018949162
South Dakota,Walked,2010,0.043840048
Tennessee,Walked,2010,0.012494503
Texas,Walked,2010,0.016653388
United States,Walked,2010,0.027727618
Utah,Walked,2010,0.029161501
Vermont,Walked,2010,0.055170243
Virginia,Walked,2010,0.027039031
Washington,Walked,2010,0.034775818
West Virginia,Walked,2010,0.030973147
Wisconsin,Walked,2010,0.031447993
Wyoming,Walked,2010,0.043567409
Alabama,Worked at home,2010,0.028580226
Alaska,Worked at home,2010,0.054757384
Arizona,Worked at home,2010,0.057550826
Arkansas,Worked at home,2010,0.029575813
California,Worked at home,2010,0.051773155
Colorado,Worked at home,2010,0.063890232
Connecticut,Worked at home,2010,0.039361848
Delaware,Worked at home,2010,0.036535625
District of Columbia,Worked at home,2010,0.050115093
Florida,Worked at home,2010,0.04612664
Georgia,Worked at home,2010,0.048297193
Hawaii,Worked at home,2010,0.05120684
Idaho,Worked at home,2010,0.060094762
Illinois,Worked at home,2010,0.043021176
Indiana,Worked at home,2010,0.03290658
Iowa,Worked at home,2010,0.048334385
Kansas,Worked at home,2010,0.044069014
Kentucky,Worked at home,2010,0.036554753
Louisiana,Worked at home,2010,0.021793541
Maine,Worked at home,2010,0.051540182
Maryland,Worked at home,2010,0.043060859
Massachusetts,Worked at home,2010,0.042338586
Michigan,Worked at home,2010,0.035528852
Minnesota,Worked at home,2010,0.054265029
Mississippi,Worked at home,2010,0.024241833
Missouri,Worked at home,2010,0.041634074
Montana,Worked at home,2010,0.065474534
Nebraska,Worked at home,2010,0.043153045
Nevada,Worked at home,2010,0.03697257
New Hampshire,Worked at home,2010,0.058696102
New Jersey,Worked at home,2010,0.035872492
New Mexico,Worked at home,2010,0.048780886
New York,Worked at home,2010,0.039785747
North Carolina,Worked at home,2010,0.040419365
North Dakota,Worked at home,2010,0.051500321
Ohio,Worked at home,2010,0.035499419
Oklahoma,Worked at home,2010,0.041450821
Oregon,Worked at home,2010,0.064920204
Pennsylvania,Worked at home,2010,0.037061797
Rhode Island,Worked at home,2010,0.033142495
South Carolina,Worked at home,2010,0.037182264
South Dakota,Worked at home,2010,0.052067025
Tennessee,Worked at home,2010,0.033811117
Texas,Worked at home,2010,0.040667428
United States,Worked at home,2010,0.043260963
Utah,Worked at home,2010,0.043812499
Vermont,Worked at home,2010,0.074275829
Virginia,Worked at home,2010,0.043435061
Washington,Worked at home,2010,0.05348669
West Virginia,Worked at home,2010,0.028100682
Wisconsin,Worked at home,2010,0.041827322
Wyoming,Worked at home,2010,0.048919239
Alabama,Bicycle,2011,0.001477519
Alaska,Bicycle,2011,0.010201361
Arizona,Bicycle,2011,0.011012903
Arkansas,Bicycle,2011,0.001762572
California,Bicycle,2011,0.011008803
Colorado,Bicycle,2011,0.013540118
Connecticut,Bicycle,2011,0.002968287
Delaware,Bicycle,2011,0.00222135
District of Columbia,Bicycle,2011,0.031515543
Florida,Bicycle,2011,0.005801514
Georgia,Bicycle,2011,0.002804451
Hawaii,Bicycle,2011,0.008010005
Idaho,Bicycle,2011,0.00891663
Illinois,Bicycle,2011,0.005980413
Indiana,Bicycle,2011,0.005098729
Iowa,Bicycle,2011,0.004707685
Kansas,Bicycle,2011,0.003899873
Kentucky,Bicycle,2011,0.002639297
Louisiana,Bicycle,2011,0.00502555
Maine,Bicycle,2011,0.003439916
Maryland,Bicycle,2011,0.002603397
Massachusetts,Bicycle,2011,0.006913399
Michigan,Bicycle,2011,0.004591738
Minnesota,Bicycle,2011,0.007100271
Mississippi,Bicycle,2011,0.000955592
Missouri,Bicycle,2011,0.001813004
Montana,Bicycle,2011,0.013466747
Nebraska,Bicycle,2011,0.004588392
Nevada,Bicycle,2011,0.003799231
New Hampshire,Bicycle,2011,0.0017927
New Jersey,Bicycle,2011,0.003053337
New Mexico,Bicycle,2011,0.00794371
New York,Bicycle,2011,0.005061987
North Carolina,Bicycle,2011,0.002217101
North Dakota,Bicycle,2011,0.006498779
Ohio,Bicycle,2011,0.002967162
Oklahoma,Bicycle,2011,0.002658715
Oregon,Bicycle,2011,0.022652313
Pennsylvania,Bicycle,2011,0.004109257
Rhode Island,Bicycle,2011,0.001987849
South Carolina,Bicycle,2011,0.003118444
South Dakota,Bicycle,2011,0.006772708
Tennessee,Bicycle,2011,0.00133773
Texas,Bicycle,2011,0.002859708
United States,Bicycle,2011,0.005623672
Utah,Bicycle,2011,0.007743927
Vermont,Bicycle,2011,0.008097472
Virginia,Bicycle,2011,0.003457414
Washington,Bicycle,2011,0.008277593
West Virginia,Bicycle,2011,0.000803321
Wisconsin,Bicycle,2011,0.006883497
Wyoming,Bicycle,2011,0.009619754
Alabama,Carpool,2011,0.099342949
Alaska,Carpool,2011,0.123987534
Arizona,Carpool,2011,0.116467509
Arkansas,Carpool,2011,0.10296446
California,Carpool,2011,0.110973675
Colorado,Carpool,2011,0.097576509
Connecticut,Carpool,2011,0.086952278
Delaware,Carpool,2011,0.088832298
District of Columbia,Carpool,2011,0.064510872
Florida,Carpool,2011,0.099062173
Georgia,Carpool,2011,0.105439493
Hawaii,Carpool,2011,0.142195667
Idaho,Carpool,2011,0.098243424
Illinois,Carpool,2011,0.088260182
Indiana,Carpool,2011,0.088264848
Iowa,Carpool,2011,0.089099691
Kansas,Carpool,2011,0.10049785
Kentucky,Carpool,2011,0.094718259
Louisiana,Carpool,2011,0.101644838
Maine,Carpool,2011,0.09863259
Maryland,Carpool,2011,0.101099632
Massachusetts,Carpool,2011,0.081829383
Michigan,Carpool,2011,0.089955912
Minnesota,Carpool,2011,0.093056975
Mississippi,Carpool,2011,0.106266693
Missouri,Carpool,2011,0.097250555
Montana,Carpool,2011,0.103971618
Nebraska,Carpool,2011,0.093425416
Nevada,Carpool,2011,0.111165475
New Hampshire,Carpool,2011,0.086258205
New Jersey,Carpool,2011,0.084796416
New Mexico,Carpool,2011,0.100121578
New York,Carpool,2011,0.067020216
North Carolina,Carpool,2011,0.099387381
North Dakota,Carpool,2011,0.095064609
Ohio,Carpool,2011,0.081805302
Oklahoma,Carpool,2011,0.108557167
Oregon,Carpool,2011,0.102284397
Pennsylvania,Carpool,2011,0.090754032
Rhode Island,Carpool,2011,0.085788873
South Carolina,Carpool,2011,0.093115058
South Dakota,Carpool,2011,0.099598076
Tennessee,Carpool,2011,0.094324015
Texas,Carpool,2011,0.110514874
United States,Carpool,2011,0.096822015
Utah,Carpool,2011,0.120498622
Vermont,Carpool,2011,0.099349997
Virginia,Carpool,2011,0.091527996
Washington,Carpool,2011,0.101719572
West Virginia,Carpool,2011,0.105134947
Wisconsin,Carpool,2011,0.08908675
Wyoming,Carpool,2011,0.108596257
Alabama,Drove alone,2011,0.848533795
Alaska,Drove alone,2011,0.682232487
Arizona,Drove alone,2011,0.758428158
Arkansas,Drove alone,2011,0.827446442
California,Drove alone,2011,0.732523769
Colorado,Drove alone,2011,0.754563014
Connecticut,Drove alone,2011,0.781334449
Delaware,Drove alone,2011,0.811262387
District of Columbia,Drove alone,2011,0.331227734
Florida,Drove alone,2011,0.797170253
Georgia,Drove alone,2011,0.793759875
Hawaii,Drove alone,2011,0.67122213
Idaho,Drove alone,2011,0.774271066
Illinois,Drove alone,2011,0.733084807
Indiana,Drove alone,2011,0.835519732
Iowa,Drove alone,2011,0.805275806
Kansas,Drove alone,2011,0.817499703
Kentucky,Drove alone,2011,0.830988917
Louisiana,Drove alone,2011,0.820544613
Maine,Drove alone,2011,0.788133794
Maryland,Drove alone,2011,0.732543162
Massachusetts,Drove alone,2011,0.72183488
Michigan,Drove alone,2011,0.826418332
Minnesota,Drove alone,2011,0.777315037
Mississippi,Drove alone,2011,0.837310385
Missouri,Drove alone,2011,0.813925939
Montana,Drove alone,2011,0.758099912
Nebraska,Drove alone,2011,0.812513621
Nevada,Drove alone,2011,0.785781125
New Hampshire,Drove alone,2011,0.805987587
New Jersey,Drove alone,2011,0.718458293
New Mexico,Drove alone,2011,0.793127427
New York,Drove alone,2011,0.539069029
North Carolina,Drove alone,2011,0.810340785
North Dakota,Drove alone,2011,0.791089012
Ohio,Drove alone,2011,0.832886287
Oklahoma,Drove alone,2011,0.819372077
Oregon,Drove alone,2011,0.71828712
Pennsylvania,Drove alone,2011,0.765615063
Rhode Island,Drove alone,2011,0.803075179
South Carolina,Drove alone,2011,0.823454174
South Dakota,Drove alone,2011,0.780027218
Tennessee,Drove alone,2011,0.839857338
Texas,Drove alone,2011,0.797904622
United States,Drove alone,2011,0.764007811
Utah,Drove alone,2011,0.765393984
Vermont,Drove alone,2011,0.743303832
Virginia,Drove alone,2011,0.780837644
Washington,Drove alone,2011,0.732794752
West Virginia,Drove alone,2011,0.821263873
Wisconsin,Drove alone,2011,0.798361557
Wyoming,Drove alone,2011,0.777490754
Alabama,Public transportation,2011,0.004776084
Alaska,Public transportation,2011,0.018562004
Arizona,Public transportation,2011,0.019831603
Arkansas,Public transportation,2011,0.004335285
California,Public transportation,2011,0.051581763
Colorado,Public transportation,2011,0.031093558
Connecticut,Public transportation,2011,0.046769073
Delaware,Public transportation,2011,0.032737199
District of Columbia,Public transportation,2011,0.3958918
Florida,Public transportation,2011,0.02097016
Georgia,Public transportation,2011,0.021511539
Hawaii,Public transportation,2011,0.059420486
Idaho,Public transportation,2011,0.006892555
Illinois,Public transportation,2011,0.090000854
Indiana,Public transportation,2011,0.010540607
Iowa,Public transportation,2011,0.010903746
Kansas,Public transportation,2011,0.003716478
Kentucky,Public transportation,2011,0.011542578
Louisiana,Public transportation,2011,0.013436137
Maine,Public transportation,2011,0.006477374
Maryland,Public transportation,2011,0.09196463
Massachusetts,Public transportation,2011,0.089426473
Michigan,Public transportation,2011,0.01432717
Minnesota,Public transportation,2011,0.034460746
Mississippi,Public transportation,2011,0.004279542
Missouri,Public transportation,2011,0.014222377
Montana,Public transportation,2011,0.008765389
Nebraska,Public transportation,2011,0.007073682
Nevada,Public transportation,2011,0.034750331
New Hampshire,Public transportation,2011,0.007473307
New Jersey,Public transportation,2011,0.110341298
New Mexico,Public transportation,2011,0.010699786
New York,Public transportation,2011,0.270448095
North Carolina,Public transportation,2011,0.011727979
North Dakota,Public transportation,2011,0.003940951
Ohio,Public transportation,2011,0.016538288
Oklahoma,Public transportation,2011,0.005068625
Oregon,Public transportation,2011,0.043274581
Pennsylvania,Public transportation,2011,0.053043945
Rhode Island,Public transportation,2011,0.031184886
South Carolina,Public transportation,2011,0.006577593
South Dakota,Public transportation,2011,0.007077565
Tennessee,Public transportation,2011,0.009489738
Texas,Public transportation,2011,0.015533048
United States,Public transportation,2011,0.050307218
Utah,Public transportation,2011,0.024480984
Vermont,Public transportation,2011,0.013787758
Virginia,Public transportation,2011,0.045036515
Washington,Public transportation,2011,0.056287891
West Virginia,Public transportation,2011,0.009134004
Wisconsin,Public transportation,2011,0.019630073
Wyoming,Public transportation,2011,0.015439845
Alabama,"Taxi, motorcycle, or other",2011,0.008864092
Alaska,"Taxi, motorcycle, or other",2011,0.040920129
Arizona,"Taxi, motorcycle, or other",2011,0.017282327
Arkansas,"Taxi, motorcycle, or other",2011,0.011390507
California,"Taxi, motorcycle, or other",2011,0.012726313
Colorado,"Taxi, motorcycle, or other",2011,0.011433366
Connecticut,"Taxi, motorcycle, or other",2011,0.009621364
Delaware,"Taxi, motorcycle, or other",2011,0.00765185
District of Columbia,"Taxi, motorcycle, or other",2011,0.010948465
Florida,"Taxi, motorcycle, or other",2011,0.01569443
Georgia,"Taxi, motorcycle, or other",2011,0.013406289
Hawaii,"Taxi, motorcycle, or other",2011,0.024548428
Idaho,"Taxi, motorcycle, or other",2011,0.015443602
Illinois,"Taxi, motorcycle, or other",2011,0.010447123
Indiana,"Taxi, motorcycle, or other",2011,0.008552069
Iowa,"Taxi, motorcycle, or other",2011,0.00885822
Kansas,"Taxi, motorcycle, or other",2011,0.007978068
Kentucky,"Taxi, motorcycle, or other",2011,0.009799792
Louisiana,"Taxi, motorcycle, or other",2011,0.016191436
Maine,"Taxi, motorcycle, or other",2011,0.011387692
Maryland,"Taxi, motorcycle, or other",2011,0.008142182
Massachusetts,"Taxi, motorcycle, or other",2011,0.00883016
Michigan,"Taxi, motorcycle, or other",2011,0.007590619
Minnesota,"Taxi, motorcycle, or other",2011,0.008724871
Mississippi,"Taxi, motorcycle, or other",2011,0.011686243
Missouri,"Taxi, motorcycle, or other",2011,0.010331719
Montana,"Taxi, motorcycle, or other",2011,0.01063701
Nebraska,"Taxi, motorcycle, or other",2011,0.007928235
Nevada,"Taxi, motorcycle, or other",2011,0.016402908
New Hampshire,"Taxi, motorcycle, or other",2011,0.011121294
New Jersey,"Taxi, motorcycle, or other",2011,0.01385516
New Mexico,"Taxi, motorcycle, or other",2011,0.013359666
New York,"Taxi, motorcycle, or other",2011,0.013808838
North Carolina,"Taxi, motorcycle, or other",2011,0.012004758
North Dakota,"Taxi, motorcycle, or other",2011,0.00685877
Ohio,"Taxi, motorcycle, or other",2011,0.00859079
Oklahoma,"Taxi, motorcycle, or other",2011,0.011346413
Oregon,"Taxi, motorcycle, or other",2011,0.010936567
Pennsylvania,"Taxi, motorcycle, or other",2011,0.009004297
Rhode Island,"Taxi, motorcycle, or other",2011,0.00887946
South Carolina,"Taxi, motorcycle, or other",2011,0.012983046
South Dakota,"Taxi, motorcycle, or other",2011,0.008492103
Tennessee,"Taxi, motorcycle, or other",2011,0.008294071
Texas,"Taxi, motorcycle, or other",2011,0.014432353
United States,"Taxi, motorcycle, or other",2011,0.011769699
Utah,"Taxi, motorcycle, or other",2011,0.011404883
Vermont,"Taxi, motorcycle, or other",2011,0.01059288
Virginia,"Taxi, motorcycle, or other",2011,0.010219535
Washington,"Taxi, motorcycle, or other",2011,0.011518701
West Virginia,"Taxi, motorcycle, or other",2011,0.005949509
Wisconsin,"Taxi, motorcycle, or other",2011,0.008865881
Wyoming,"Taxi, motorcycle, or other",2011,0.013346011
Alabama,Walked,2011,0.010831046
Alaska,Walked,2011,0.075713135
Arizona,Walked,2011,0.021968829
Arkansas,Walked,2011,0.018733597
California,Walked,2011,0.027758344
Colorado,Walked,2011,0.029255195
Connecticut,Walked,2011,0.030021834
Delaware,Walked,2011,0.021100411
District of Columbia,Walked,2011,0.117991793
Florida,Walked,2011,0.015240594
Georgia,Walked,2011,0.016468294
Hawaii,Walked,2011,0.049081472
Idaho,Walked,2011,0.034602467
Illinois,Walked,2011,0.031274189
Indiana,Walked,2011,0.020553318
Iowa,Walked,2011,0.035041618
Kansas,Walked,2011,0.023327476
Kentucky,Walked,2011,0.021201049
Louisiana,Walked,2011,0.021533658
Maine,Walked,2011,0.037493662
Maryland,Walked,2011,0.022840133
Massachusetts,Walked,2011,0.046260326
Michigan,Walked,2011,0.021918033
Minnesota,Walked,2011,0.027325093
Mississippi,Walked,2011,0.016882706
Missouri,Walked,2011,0.02037624
Montana,Walked,2011,0.047538319
Nebraska,Walked,2011,0.027812698
